scorer,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000
bodyparts,nose,nose,nose,earL,earL,earL,earR,earR,earR,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,235.82528686523438,35.53207015991211,0.9999637603759766,242.4420928955078,20.750564575195312,0.9999957084655762,237.23020935058594,20.658557891845703,0.9999747276306152,244.35430908203125,-4.98635196685791,0.02494269609451294
1,237.0785675048828,37.854618072509766,0.9999819993972778,243.82693481445312,23.228883743286133,0.9999884366989136,236.85354614257812,23.954570770263672,0.9999818205833435,242.72061157226562,-4.523621559143066,0.08508649468421936
2,236.88882446289062,39.30778121948242,0.9999606609344482,245.28065490722656,26.405109405517578,0.9999935626983643,236.7121124267578,26.077390670776367,0.9999785423278809,242.3112030029297,-1.780766487121582,0.7719625234603882
3,238.58155822753906,43.325279235839844,0.999981701374054,245.0955810546875,29.35390853881836,0.9999914169311523,235.88250732421875,29.94457244873047,0.9999586343765259,243.07376098632812,3.073526382446289,0.9995230436325073
4,239.79237365722656,46.724586486816406,0.9999721050262451,246.0376434326172,33.681209564208984,0.9999977350234985,236.98085021972656,34.684532165527344,0.9999935626983643,242.60842895507812,6.537914276123047,0.9999931454658508
5,239.9265594482422,47.191585540771484,0.9999459385871887,246.04156494140625,35.08709716796875,0.9999971389770508,237.22486877441406,35.94765853881836,0.9999949932098389,243.3109588623047,8.01114273071289,0.9999964833259583
6,240.26893615722656,48.91195297241211,0.9999695420265198,246.4289093017578,36.05851364135742,0.999994158744812,237.8197479248047,36.78279495239258,0.9999932050704956,243.13638305664062,9.08860969543457,0.999997615814209
7,240.86492919921875,50.19690704345703,0.9999758005142212,246.88233947753906,38.331703186035156,0.9999855160713196,238.530029296875,38.48658752441406,0.9999842047691345,243.0542449951172,11.445276260375977,0.9999963045120239
