scorer,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000,DLC_resnet50_OpenFieldDez1shuffle1_75000
bodyparts,nose,nose,nose,earL,earL,earL,earR,earR,earR,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,249.41525268554688,7.6821136474609375,0.9996294379234314,257.01513671875,3.3586840629577637,0.9993005394935608,251.9152069091797,-0.2768101692199707,0.9983392953872681,252.9916229248047,-0.13558673858642578,0.012288898229598999
1,249.56069946289062,9.495214462280273,0.9999256134033203,256.56884765625,6.04505729675293,0.9994534850120544,251.40789794921875,1.7790446281433105,0.9994398951530457,253.23806762695312,-0.17795228958129883,0.006601959466934204
2,248.6470184326172,9.584589958190918,0.9999809265136719,256.01904296875,6.626522064208984,0.9993458986282349,250.8330078125,2.2608642578125,0.9994664192199707,253.166015625,-0.02626514434814453,0.006097763776779175
3,248.32281494140625,9.389376640319824,0.999983549118042,256.0821838378906,6.707925319671631,0.9992358088493347,250.7485809326172,2.2385034561157227,0.9993852972984314,253.0992889404297,0.16831064224243164,0.006898015737533569
4,248.0303192138672,10.662331581115723,0.9999925494194031,255.9345245361328,6.518594741821289,0.9994286298751831,250.18238830566406,2.9234089851379395,0.9995182752609253,252.82757568359375,-0.006422519683837891,0.00561070442199707
5,247.49647521972656,11.964944839477539,0.9999974966049194,255.06016540527344,6.7825775146484375,0.9995076060295105,249.890380859375,3.860398292541504,0.9995602965354919,252.18824768066406,-0.14626598358154297,0.005011856555938721
6,247.5211181640625,12.341886520385742,0.9999974966049194,255.0016632080078,6.939114570617676,0.9996356964111328,249.7121124267578,4.262092590332031,0.9996213912963867,252.0601348876953,-0.3837404251098633,0.00463220477104187
7,246.6118621826172,12.945277214050293,0.999998927116394,254.1425018310547,7.246372222900391,0.9997881650924683,249.04554748535156,4.759185314178467,0.9997941255569458,251.97657775878906,-0.13623285293579102,0.0046939849853515625
